date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:21:54	13656/13656	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Nov%202022%2015:47:54%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/index.html	C:/Users/UASER/Documents/GitHub/resturant/resupdate/kalanidhithemes.com/live-preview/landing-page/delici/index.html	(from )
13:21:55	358/358	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2028%20May%202021%2012:37:54%20GMT	https://kalanidhithemes.com/robots.txt		(from )
13:21:57	3341/3341	---M--	200	added ('OK')	image/png	date:Sat,%2026%20Nov%202022%2015:51:49%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/images/logo.png	C:/Users/UASER/Documents/GitHub/resturant/resupdate/kalanidhithemes.com/live-preview/landing-page/delici/images/logo.png	(from https://kalanidhithemes.com/live-preview/landing-page/delici/index.html)
13:21:59	121260/121260	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Nov%202022%2015:51:34%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/css/bootstrap.min.css	C:/Users/UASER/Documents/GitHub/resturant/resupdate/kalanidhithemes.com/live-preview/landing-page/delici/css/bootstrap.min.css	(from https://kalanidhithemes.com/live-preview/landing-page/delici/index.html)
13:22:00	1767/1767	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Nov%202022%2015:51:34%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/css/icomoon.min.css	C:/Users/UASER/Documents/GitHub/resturant/resupdate/kalanidhithemes.com/live-preview/landing-page/delici/css/icomoon.min.css	(from https://kalanidhithemes.com/live-preview/landing-page/delici/index.html)
13:22:01	102649/102649	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Nov%202022%2015:51:34%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/css/style.css	C:/Users/UASER/Documents/GitHub/resturant/resupdate/kalanidhithemes.com/live-preview/landing-page/delici/css/style.css	(from https://kalanidhithemes.com/live-preview/landing-page/delici/index.html)
13:22:02	2777/2777	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Nov%202022%2015:51:34%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/css/google-fonts.css	C:/Users/UASER/Documents/GitHub/resturant/resupdate/kalanidhithemes.com/live-preview/landing-page/delici/css/google-fonts.css	(from https://kalanidhithemes.com/live-preview/landing-page/delici/index.html)
13:22:04	92846/92846	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Nov%202022%2015:47:57%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/all-demo/Delici-Defoult/index.html	C:/Users/UASER/Documents/GitHub/resturant/resupdate/kalanidhithemes.com/live-preview/landing-page/delici/all-demo/Delici-Defoult/index.html	(from https://kalanidhithemes.com/live-preview/landing-page/delici/index.html)
13:22:05	94456/94456	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2003:19:57%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/all-demo/Delici-Video-Hero-Center-Header/index.html	C:/Users/UASER/Documents/GitHub/resturant/resupdate/kalanidhithemes.com/live-preview/landing-page/delici/all-demo/Delici-Video-Hero-Center-Header/index.html	(from https://kalanidhithemes.com/live-preview/landing-page/delici/index.html)
13:22:06	70631/70631	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Nov%202022%2015:47:58%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/all-demo/Delici-Different-Design-With-Center-Header/index.html	C:/Users/UASER/Documents/GitHub/resturant/resupdate/kalanidhithemes.com/live-preview/landing-page/delici/all-demo/Delici-Different-Design-With-Center-Header/index.html	(from https://kalanidhithemes.com/live-preview/landing-page/delici/index.html)
